deal_name,asset_number,originator_name,origination_date,maturity_date,original_loan_amount,original_interest_rate,ending_actual_balance,interest_only_indicator,balloon_indicator,payment_status_code
benchmark_2025_v18,1,"German American Capital Corporation, Barclays Capital Real Estate Inc.",2025-09-30,2030-10-06,80000000.0,0.05,80000000.0,true,true,A
benchmark_2025_v18,2,German American Capital Corporation,2025-09-23,2030-10-06,62000000.0,0.0654,62000000.0,true,true,A
benchmark_2025_v18,3,German American Capital Corporation,2025-07-29,2030-08-06,60000000.0,0.05333,60000000.0,true,true,0
benchmark_2025_v18,4,German American Capital Corporation,2025-09-22,2030-10-06,57785000.0,0.0682,57785000.0,true,true,A
benchmark_2025_v18,5,Goldman Sachs Bank USA,2025-09-30,2030-08-06,56440000.0,0.06525,56440000.0,true,true,A
benchmark_2025_v18,6,DBR Investments Co. Limited,2025-09-04,2030-09-06,55110000.0,0.06353,55110000.0,true,true,0
benchmark_2025_v18,7,Citi Real Estate Funding Inc.,2025-10-01,2030-10-06,54500000.0,0.0573,54500000.0,true,true,A
benchmark_2025_v18,8,Citi Real Estate Funding Inc.,2025-09-25,2030-10-06,53000000.0,0.0656,53000000.0,false,true,A
benchmark_2025_v18,11,Citi Real Estate Funding Inc.,2025-09-30,2030-10-06,50000000.0,0.0654,50000000.0,true,true,A
benchmark_2025_v18,10,DBR Investments Co. Limited,2025-09-30,2030-10-06,50000000.0,0.06414,50000000.0,true,true,A
benchmark_2025_v18,9,Citi Real Estate Funding Inc.,2025-09-30,2030-10-06,50000000.0,0.0697,50000000.0,true,true,A
benchmark_2025_v18,12,"LMF Commercial, LLC",2025-09-08,2030-09-06,44000000.0,0.0649,44000000.0,true,true,0
benchmark_2025_v18,13,Goldman Sachs Bank USA,2025-09-30,2030-10-06,43000000.0,0.05933,43000000.0,true,true,A
benchmark_2025_v18,14,Citi Real Estate Funding Inc.,2025-09-12,2030-10-06,42000000.0,0.0713,42000000.0,true,true,A
benchmark_2025_v18,15,DBR Investments Co. Limited,2025-09-24,2030-10-06,41600000.0,0.06262,41600000.0,true,true,A
benchmark_2025_v18,16,Citi Real Estate Funding Inc.,2025-09-05,2030-09-11,31650000.0,0.073,31650000.0,true,true,0
benchmark_2025_v18,17,Goldman Sachs Bank USA,2025-10-01,2030-10-06,30000000.0,0.06736,30000000.0,true,true,A
benchmark_2025_v18,18,Citi Real Estate Funding Inc.,2025-10-01,2030-10-06,30000000.0,0.0699,30000000.0,true,true,A
benchmark_2025_v18,19,Greystone Select Company II LLC,2024-12-13,2030-01-06,29000000.0,0.07077,29000000.0,true,true,0
benchmark_2025_v18,20,"Deutsche Bank AG, acting through its New York Branch",2025-05-16,2030-06-06,27500000.0,0.0649,27500000.0,true,true,0
benchmark_2025_v18,21,"Goldman Sachs Bank USA, Barclays Capital Real Estate Inc.",2025-06-20,2030-07-06,25000000.0,0.07115,25000000.0,true,true,0
benchmark_2025_v18,22,Citi Real Estate Funding Inc.,2025-09-19,2030-10-06,24000000.0,0.0665,24000000.0,true,true,A
benchmark_2025_v18,23,DBR Investments Co. Limited,2025-09-09,2030-10-06,24000000.0,0.0665,24000000.0,true,true,A
benchmark_2025_v18,24,Goldman Sachs Bank USA,2025-09-04,2030-09-06,22500000.0,0.06302,22500000.0,true,true,0
benchmark_2025_v18,25,DBR Investments Co. Limited,2025-09-18,2030-10-06,22500000.0,0.0671,22500000.0,true,true,A
benchmark_2025_v18,26,Goldman Sachs Bank USA,2025-09-24,2030-10-06,22000000.0,0.06745,22000000.0,false,true,A
benchmark_2025_v18,27,Goldman Sachs Bank USA,2025-09-30,2030-10-06,21000000.0,0.06447,21000000.0,true,true,A
benchmark_2025_v18,28,Bank of Montreal,2025-09-18,2030-10-06,17800000.0,0.061544,17800000.0,true,true,A
benchmark_2025_v18,29,Citi Real Estate Funding Inc.,2025-09-30,2030-10-06,17500000.0,0.0649,17500000.0,true,true,A
benchmark_2025_v18,30,Goldman Sachs Bank USA,2025-08-06,2030-08-06,16566300.0,0.07613,16566300.0,true,true,0
benchmark_2025_v18,31,Goldman Sachs Bank USA,2025-08-06,2030-08-06,15650000.0,0.07613,15650000.0,true,true,0
benchmark_2025_v18,32,Barclays Capital Real Estate Inc.,2025-09-30,2030-10-06,13040000.0,0.065,13040000.0,true,true,A
benchmark_2025_v18,33,Citi Real Estate Funding Inc.,2025-09-04,2030-09-06,11800000.0,0.0635,11800000.0,true,true,0
benchmark_2025_v18,34,Citi Real Estate Funding Inc.,2025-08-20,2030-09-06,11700000.0,0.0668,11700000.0,true,true,0
benchmark_2025_v18,35,Goldman Sachs Bank USA,2025-08-06,2030-08-06,11420000.0,0.07215,11420000.0,true,true,0
