deal_name,property_state,properties,valuation_amount,valuation_share_pct
benchmark_2025_v18,NY,28,926900000.0,22.85
benchmark_2025_v18,CA,13,781500000.0,19.26
benchmark_2025_v18,VA,5,402100000.0,9.91
benchmark_2025_v18,,5,369550000.0,9.11
benchmark_2025_v18,MD,1,317000000.0,7.81
benchmark_2025_v18,TX,12,208700000.0,5.14
benchmark_2025_v18,FL,6,202500000.0,4.99
benchmark_2025_v18,NJ,4,167650000.0,4.13
benchmark_2025_v18,KS,1,101700000.0,2.51
benchmark_2025_v18,IL,1,87000000.0,2.14
benchmark_2025_v18,GA,2,81800000.0,2.02
benchmark_2025_v18,PA,1,78000000.0,1.92
benchmark_2025_v18,IN,5,75000000.0,1.85
benchmark_2025_v18,MA,1,74900000.0,1.85
benchmark_2025_v18,OH,6,72000000.0,1.77
benchmark_2025_v18,NC,2,49800000.0,1.23
benchmark_2025_v18,SC,1,18700000.0,0.46
benchmark_2025_v18,DC,1,15200000.0,0.37
benchmark_2025_v18,LA,1,9500000.0,0.23
benchmark_2025_v18,WA,1,9100000.0,0.22
benchmark_2025_v18,MS,1,8700000.0,0.21
gs_2018_gs10,AZ,2,1012770000.0,33.12
gs_2018_gs10,,8,467206000.0,15.28
gs_2018_gs10,CA,5,448675000.0,14.67
gs_2018_gs10,TX,12,259310000.0,8.48
gs_2018_gs10,MN,5,166570000.0,5.45
gs_2018_gs10,CO,3,100400000.0,3.28
gs_2018_gs10,VA,1,97700000.0,3.19
gs_2018_gs10,MD,1,65900000.0,2.16
gs_2018_gs10,IA,1,51000000.0,1.67
gs_2018_gs10,KY,2,50601000.0,1.65
gs_2018_gs10,OH,4,48160000.0,1.57
gs_2018_gs10,TN,1,39750000.0,1.3
gs_2018_gs10,MI,1,34000000.0,1.11
gs_2018_gs10,NV,1,30500000.0,1.0
gs_2018_gs10,IN,2,30500000.0,1.0
gs_2018_gs10,PA,2,27750000.0,0.91
gs_2018_gs10,OR,1,21070000.0,0.69
gs_2018_gs10,UT,1,18400000.0,0.6
gs_2018_gs10,NM,1,16800000.0,0.55
gs_2018_gs10,MS,1,14800000.0,0.48
gs_2018_gs10,GA,2,14450000.0,0.47
gs_2018_gs10,ME,1,11600000.0,0.38
gs_2018_gs10,AR,1,11000000.0,0.36
gs_2018_gs10,WA,1,10800000.0,0.35
gs_2018_gs10,IL,1,8200000.0,0.27
gs_2018_gs10,NA,9,,
