pd_decile,loans,mean_pd_12m,observed_event_rate_12m,events_12m,ead
1,4536,3.547870526669556e-06,0.0,0,967994934.7
2,4536,8.45417577664627e-06,0.0,0,1098164920.0
3,4535,1.385713237457976e-05,0.0,0,1209795420.3
4,4536,2.0587721955776596e-05,0.0,0,1259751849.9
5,4536,2.9462373287524816e-05,0.0,0,1312991993.5
6,4535,4.2014318092744915e-05,0.0,0,1359159328.7
7,4536,5.9980006230836375e-05,0.0,0,1383579545.2
8,4535,8.816063533885182e-05,0.0,0,1449844145.6
9,4536,0.0001412258056574514,0.0,0,1520257628.4
10,4536,0.0006918720827543682,0.0004409171075837742,2,1711430615.66
