loan_sequence_number,vintage_year,snapshot_period,current_actual_upb,credit_score,original_ltv,original_cltv,original_dti_ratio,property_state,current_interest_rate,estimated_ltv,credit_event_12m,pd_12m
F22Q10000012,2022,202302,88301.1,768.0,57.0,57.0,28.0,NY,2.625,37.0,0,1.3761462353557299e-06
F22Q10000178,2022,202302,254684.0,781.0,80.0,80.0,44.0,NY,3.125,65.0,0,4.423060664219506e-06
F22Q10000181,2022,202303,106326.0,809.0,53.0,53.0,28.0,NE,3.5,47.0,0,1.4365890672081287e-05
F22Q10000368,2022,202302,145036.0,661.0,48.0,48.0,42.0,IN,3.375,46.0,0,1.0500982416317252e-05
F22Q10000392,2022,202302,190902.0,668.0,80.0,80.0,40.0,NE,3.875,74.0,0,2.04242839810636e-05
F22Q10000396,2022,202302,304161.0,750.0,62.0,62.0,41.0,ME,3.625,53.0,0,1.1103353493374612e-05
F22Q10000476,2022,202302,106653.0,798.0,41.0,41.0,24.0,OH,2.375,38.0,0,2.135362025025427e-06
F22Q10000493,2022,202302,220242.0,680.0,60.0,60.0,21.0,WI,3.25,53.0,0,1.0612287708188317e-05
F22Q10000564,2022,202303,176853.0,802.0,78.0,78.0,20.0,WI,3.125,66.0,0,8.23806305722424e-06
F22Q10000604,2022,202302,65210.0,804.0,32.0,32.0,33.0,OH,2.75,28.0,0,1.0299900147288546e-06
F22Q10000611,2022,202302,228072.0,720.0,80.0,80.0,31.0,OH,3.5,75.0,0,8.139529261407544e-06
F22Q10000614,2022,202302,158910.0,809.0,27.0,27.0,37.0,WA,2.875,25.0,0,2.0470901924149787e-06
F22Q10000639,2022,202302,184876.0,748.0,95.0,95.0,42.0,KS,3.125,76.0,0,9.643364669651065e-06
F22Q10000732,2022,202302,537258.0,762.0,74.0,74.0,39.0,WA,3.375,74.0,0,9.509113750686906e-06
F22Q10000747,2022,202302,170039.0,674.0,59.0,59.0,45.0,TX,3.875,52.0,0,1.1184865724424955e-05
F22Q10000750,2022,202302,396677.0,778.0,70.0,70.0,21.0,MI,2.75,56.0,0,3.5002361875085934e-06
F22Q10000783,2022,202303,48161.9,773.0,49.0,49.0,17.0,IN,2.5,41.0,0,1.620233398491074e-06
F22Q10000876,2022,202302,352756.0,715.0,80.0,80.0,31.0,GA,3.25,73.0,0,1.6868168967813806e-05
F22Q10000930,2022,202303,146831.0,717.0,45.0,45.0,33.0,OH,2.625,43.0,0,1.8898031293850666e-06
F22Q10000960,2022,202302,76517.5,785.0,58.0,58.0,32.0,OH,3.125,52.0,0,2.10919981580707e-06
F22Q10000971,2022,202302,405791.0,785.0,95.0,95.0,21.0,NY,3.125,85.0,0,5.912573801284823e-06
F22Q10001022,2022,202302,176546.0,774.0,76.0,76.0,32.0,WI,3.5,69.0,0,7.228544708004524e-06
F22Q10001032,2022,202302,93293.9,796.0,80.0,80.0,24.0,MN,3.25,64.0,0,7.441782704277569e-06
F22Q10001049,2022,202302,424955.0,783.0,54.0,54.0,37.0,OH,2.5,46.0,0,4.110793520541254e-06
