scenario,month,beginning_balance,scheduled_principal,prepayment,interest,total_cash_flow,ending_balance
Low Prepayment,1,100000000.0,1666666.6666666667,439651.0750472894,458333.3333333333,2564651.0750472895,97893682.25828604
Low Prepayment,2,97893682.25828604,1666666.6666666667,430233.66969607875,448679.37701714435,2545579.7133798897,95796781.9219233
Low Prepayment,3,95796781.9219233,1666666.6666666667,420858.3698267678,439068.5838088151,2526593.6203022497,93709256.88542986
Low Prepayment,4,93709256.88542986,1666666.6666666667,411524.9871845732,429500.76072488684,2507692.4145761267,91631065.23157862
Low Prepayment,5,91631065.23157862,1666666.6666666667,402233.3343564037,419975.7156447353,2488875.716667806,89562165.23055555
Low Prepayment,6,89562165.23055555,1666666.6666666667,392983.2247670973,410493.2573067129,2470143.148740477,87502515.33912179
Low Prepayment,7,87502515.33912179,1666666.6666666667,383774.4726756747,401053.1953043082,2451494.3346466497,85452074.19977945
Low Prepayment,8,85452074.19977945,1666666.6666666667,374606.89317160985,391655.3400823225,2432928.899920599,83410800.63994117
Low Prepayment,9,83410800.63994117,1666666.6666666667,365480.3021711165,382299.5029330637,2414446.4717708468,81378653.67110339
Low Prepayment,10,81378653.67110339,1666666.6666666667,356394.51641345257,372985.4959925572,2396046.6790726767,79355592.48802327
Low Prepayment,11,79355592.48802327,1666666.6666666667,347349.3534572395,363713.1322367733,2377729.1523606796,77341576.46789937
Low Prepayment,12,77341576.46789937,1666666.6666666667,338344.6316767995,354482.2254778721,2359493.523821338,75336565.1695559
Low Prepayment,13,75336565.1695559,1666666.6666666667,329380.170258508,345292.5903604645,2341339.4272856396,73340518.33263072
Low Prepayment,14,73340518.33263072,1666666.6666666667,320455.78919716325,336144.0423578908,2323266.4982217206,71353395.87676689
Low Prepayment,15,71353395.87676689,1666666.6666666667,311571.30929237197,327036.39776851493,2305274.3737275535,69375157.90080786
Low Prepayment,16,69375157.90080786,1666666.6666666667,302726.55214495066,317969.47371203604,2287362.6925236536,67405764.68199624
Low Prepayment,17,67405764.68199624,1666666.6666666667,293921.34015334357,308943.0881258161,2269531.0949458266,65445176.67517623
Low Prepayment,18,65445176.67517623,1666666.6666666667,285155.4965100564,299957.05976122443,2251779.2229379476,63493354.51199951
Low Prepayment,19,63493354.51199951,1666666.6666666667,276428.84519810614,291011.20817999775,2234106.7200447707,61550259.00013474
Low Prepayment,20,61550259.00013474,1666666.6666666667,267741.2109874867,282105.35375061753,2216513.231404771,59615851.122480586
Low Prepayment,21,59615851.122480586,1666666.6666666667,259092.41943165017,273239.3176447027,2198998.4037430193,57690092.03638227
Low Prepayment,22,57690092.03638227,1666666.6666666667,250482.296864004,264412.9218334188,2181561.8853640896,55772943.0728516
Low Prepayment,23,55772943.0728516,1666666.6666666667,241910.67039442374,255625.98908390317,2164203.326144994,53864365.735790506
Low Prepayment,24,53864365.735790506,1666666.6666666667,233377.36790578166,246878.3429557065,2146922.3775281548,51964321.70121806
Low Prepayment,25,51964321.70121806,1666666.6666666667,224882.2180504905,238169.80779724944,2129718.692514407,50072772.8165009
Low Prepayment,26,50072772.8165009,1666666.6666666667,216425.0502470627,229500.2087422958,2112591.9256560253,48189681.09958717
Low Prepayment,27,48189681.09958717,1666666.6666666667,208005.6946766854,220869.37170644122,2095541.7330497934,46315008.73824382
Low Prepayment,28,46315008.73824382,1666666.6666666667,199623.98227981036,212277.1233836175,2078567.7723300946,44448718.08929734
Low Prepayment,29,44448718.08929734,1666666.6666666667,191279.7447527593,203723.29124261282,2061669.7026620388,42590771.67787791
Low Prepayment,30,42590771.67787791,1666666.6666666667,182972.81454434432,195207.70352360708,2044847.184734618,40741132.1966669
Low Prepayment,31,40741132.1966669,1666666.6666666667,174703.02485250364,186730.18923472328,2028099.8807538936,38899762.505147725
Low Prepayment,32,38899762.505147725,1666666.6666666667,166470.2096209521,178290.57814859375,2011427.4544362125,37066625.62886011
Low Prepayment,33,37066625.62886011,1666666.6666666667,158274.2035358469,169888.70079894215,1994829.571001456,35241684.7586576
Low Prepayment,34,35241684.7586576,1666666.6666666667,150114.84202246787,161524.38847718065,1978305.8971663152,33424903.24996846
