vintage_year,from_bucket,to_bucket,transitions,transition_rate_pct
2006,30 DPD,30 DPD,41803,48.0318
2006,30 DPD,60 DPD,17689,20.3247
2006,30 DPD,90+ DPD,109,0.1252
2006,30 DPD,Special/Unknown,27431,31.5183
2006,60 DPD,30 DPD,4492,15.0678
2006,60 DPD,60 DPD,10892,36.5356
2006,60 DPD,90+ DPD,11344,38.0518
2006,60 DPD,Special/Unknown,3084,10.3448
2006,90+ DPD,30 DPD,754,0.6114
2006,90+ DPD,60 DPD,1516,1.2293
2006,90+ DPD,90+ DPD,113861,92.329
2006,90+ DPD,Special/Unknown,7190,5.8303
2006,Special/Unknown,30 DPD,40142,1.3779
2006,Special/Unknown,60 DPD,342,0.0117
2006,Special/Unknown,90+ DPD,282,0.0097
2006,Special/Unknown,Special/Unknown,2872536,98.6007
2007,30 DPD,30 DPD,45499,48.4527
2007,30 DPD,60 DPD,19833,21.1205
2007,30 DPD,90+ DPD,161,0.1715
2007,30 DPD,Special/Unknown,28411,30.2554
2007,60 DPD,30 DPD,5071,14.9662
2007,60 DPD,60 DPD,12504,36.9035
2007,60 DPD,90+ DPD,12876,38.0014
2007,60 DPD,Special/Unknown,3432,10.129
2007,90+ DPD,30 DPD,854,0.6119
2007,90+ DPD,60 DPD,1754,1.2567
2007,90+ DPD,90+ DPD,128810,92.2899
2007,90+ DPD,Special/Unknown,8153,5.8415
2007,Special/Unknown,30 DPD,42659,1.5831
2007,Special/Unknown,60 DPD,361,0.0134
2007,Special/Unknown,90+ DPD,349,0.013
2007,Special/Unknown,Special/Unknown,2651304,98.3906
2008,30 DPD,30 DPD,26902,47.774
2008,30 DPD,60 DPD,11319,20.1009
2008,30 DPD,90+ DPD,89,0.1581
2008,30 DPD,Special/Unknown,18001,31.9671
2008,60 DPD,30 DPD,2874,14.8866
2008,60 DPD,60 DPD,7169,37.1335
2008,60 DPD,90+ DPD,7118,36.8694
2008,60 DPD,Special/Unknown,2145,11.1105
2008,90+ DPD,30 DPD,499,0.6881
2008,90+ DPD,60 DPD,1043,1.4383
2008,90+ DPD,90+ DPD,66616,91.8651
2008,90+ DPD,Special/Unknown,4357,6.0084
2008,Special/Unknown,30 DPD,26176,1.1591
2008,Special/Unknown,60 DPD,224,0.0099
2008,Special/Unknown,90+ DPD,177,0.0078
2008,Special/Unknown,Special/Unknown,2231781,98.8232
2019,30 DPD,30 DPD,5776,31.6632
2019,30 DPD,60 DPD,5008,27.4531
2019,30 DPD,90+ DPD,20,0.1096
2019,30 DPD,Special/Unknown,7438,40.774
2019,60 DPD,30 DPD,549,8.2855
2019,60 DPD,60 DPD,1351,20.3894
2019,60 DPD,90+ DPD,3594,54.2409
2019,60 DPD,Special/Unknown,1132,17.0842
2019,90+ DPD,30 DPD,203,0.8015
2019,90+ DPD,60 DPD,253,0.9989
2019,90+ DPD,90+ DPD,21852,86.2761
2019,90+ DPD,Special/Unknown,3020,11.9236
2019,Special/Unknown,30 DPD,11854,0.6462
2019,Special/Unknown,60 DPD,66,0.0036
2019,Special/Unknown,90+ DPD,25,0.0014
2019,Special/Unknown,Special/Unknown,1822473,99.3488
2020,30 DPD,30 DPD,3568,30.0337
2020,30 DPD,60 DPD,2165,18.2239
2020,30 DPD,90+ DPD,11,0.0926
2020,30 DPD,Special/Unknown,6136,51.6498
2020,60 DPD,30 DPD,237,8.6307
2020,60 DPD,60 DPD,519,18.9002
2020,60 DPD,90+ DPD,1406,51.2017
2020,60 DPD,Special/Unknown,584,21.2673
2020,90+ DPD,30 DPD,81,0.901
2020,90+ DPD,60 DPD,77,0.8565
2020,90+ DPD,90+ DPD,7635,84.9277
2020,90+ DPD,Special/Unknown,1197,13.3148
2020,Special/Unknown,30 DPD,8146,0.3333
2020,Special/Unknown,60 DPD,29,0.0012
2020,Special/Unknown,90+ DPD,21,0.0009
2020,Special/Unknown,Special/Unknown,2436045,99.6647
2021,30 DPD,30 DPD,6059,36.7435
2021,30 DPD,60 DPD,2474,15.003
2021,30 DPD,90+ DPD,13,0.0788
2021,30 DPD,Special/Unknown,7944,48.1747
2021,60 DPD,30 DPD,482,13.5622
2021,60 DPD,60 DPD,984,27.6871
2021,60 DPD,90+ DPD,1406,39.5611
2021,60 DPD,Special/Unknown,682,19.1896
2021,90+ DPD,30 DPD,109,1.5037
2021,90+ DPD,60 DPD,124,1.7106
2021,90+ DPD,90+ DPD,6024,83.1011
2021,90+ DPD,Special/Unknown,992,13.6846
2021,Special/Unknown,30 DPD,10159,0.413
2021,Special/Unknown,60 DPD,60,0.0024
2021,Special/Unknown,90+ DPD,16,0.0007
2021,Special/Unknown,Special/Unknown,2449526,99.5839
2022,30 DPD,30 DPD,8334,38.8296
2022,30 DPD,60 DPD,3904,18.1894
2022,30 DPD,90+ DPD,45,0.2097
2022,30 DPD,Special/Unknown,9180,42.7713
2022,60 DPD,30 DPD,685,12.1951
2022,60 DPD,60 DPD,1590,28.3069
2022,60 DPD,90+ DPD,2338,41.6236
2022,60 DPD,Special/Unknown,1004,17.8743
2022,90+ DPD,30 DPD,154,1.2427
2022,90+ DPD,60 DPD,211,1.7027
2022,90+ DPD,90+ DPD,10425,84.1269
2022,90+ DPD,Special/Unknown,1602,12.9277
2022,Special/Unknown,30 DPD,12818,0.6589
2022,Special/Unknown,60 DPD,104,0.0053
2022,Special/Unknown,90+ DPD,25,0.0013
2022,Special/Unknown,Special/Unknown,1932379,99.3345
