vintage_year,dti_band,loans,original_upb,upb_share_pct
2006,<=30,15620,2492768000.0,27.89
2006,>50,6148,1201312000.0,13.44
2006,30.01-40,14709,2664630000.0,29.81
2006,40.01-45,6948,1319048000.0,14.76
2006,45.01-50,5506,1061980000.0,11.88
2006,Missing,1069,199601000.0,2.23
2007,<=30,15830,2597718000.0,28.46
2007,>50,6695,1301991000.0,14.26
2007,30.01-40,14158,2613147000.0,28.63
2007,40.01-45,6659,1293105000.0,14.17
2007,45.01-50,5534,1103427000.0,12.09
2007,Missing,1124,219127000.0,2.4
2008,<=30,17014,3218499000.0,31.5
2008,>50,6824,1474889000.0,14.43
2008,30.01-40,13500,2798383000.0,27.38
2008,40.01-45,6247,1343745000.0,13.15
2008,45.01-50,5389,1159858000.0,11.35
2008,Missing,1026,223631000.0,2.19
2019,<=30,14977,3607111000.0,28.34
2019,30.01-40,17384,4432353000.0,34.82
2019,40.01-45,11040,2877360000.0,22.61
2019,45.01-50,6568,1808400000.0,14.21
2019,Missing,31,3515000.0,0.03
2020,<=30,19330,5423889000.0,37.73
2020,30.01-40,16629,4841801000.0,33.68
2020,40.01-45,9099,2640007000.0,18.36
2020,45.01-50,4942,1469516000.0,10.22
2021,<=30,17705,4882463000.0,33.9
2021,>50,15,4044000.0,0.03
2021,30.01-40,17018,4940630000.0,34.3
2021,40.01-45,9884,2934045000.0,20.37
2021,45.01-50,5370,1640959000.0,11.39
2021,Missing,8,1630000.0,0.01
2022,<=30,12151,3364721000.0,22.48
2022,>50,13,3353000.0,0.02
2022,30.01-40,16394,4876597000.0,32.59
2022,40.01-45,12636,3896467000.0,26.04
2022,45.01-50,8803,2823284000.0,18.87
2022,Missing,3,1156000.0,0.01
