vintage_year,fico_band,loans,original_upb,upb_share_pct
2006,<620,2089,335832000.0,3.76
2006,620-659,5598,957098000.0,10.71
2006,660-699,9273,1637098000.0,18.31
2006,700-739,10683,1960474000.0,21.93
2006,740-779,12224,2265784000.0,25.35
2006,780+,10087,1773652000.0,19.84
2006,Missing,46,9401000.0,0.11
2007,<620,2163,342132000.0,3.75
2007,620-659,5270,913456000.0,10.01
2007,660-699,9116,1638850000.0,17.95
2007,700-739,10462,1941900000.0,21.27
2007,740-779,12237,2327955000.0,25.5
2007,780+,10714,1956007000.0,21.43
2007,Missing,38,8215000.0,0.09
2008,<620,836,133883000.0,1.31
2008,620-659,2862,502362000.0,4.92
2008,660-699,6893,1339107000.0,13.1
2008,700-739,10398,2153504000.0,21.07
2008,740-779,14677,3160292000.0,30.93
2008,780+,14299,2923075000.0,28.6
2008,Missing,35,6782000.0,0.07
2019,<620,36,5025000.0,0.04
2019,620-659,1818,358203000.0,2.81
2019,660-699,5626,1290980000.0,10.14
2019,700-739,11067,2799519000.0,21.99
2019,740-779,16181,4316897000.0,33.91
2019,780+,15254,3954013000.0,31.06
2019,Missing,18,4102000.0,0.03
2020,<620,20,3590000.0,0.02
2020,620-659,1101,251194000.0,1.75
2020,660-699,4183,1056198000.0,7.35
2020,700-739,9407,2623616000.0,18.25
2020,740-779,16080,4764693000.0,33.15
2020,780+,19202,5674589000.0,39.47
2020,Missing,7,1333000.0,0.01
2021,<620,26,4599000.0,0.03
2021,620-659,1887,432786000.0,3.0
2021,660-699,5901,1545416000.0,10.73
2021,700-739,10436,2968102000.0,20.61
2021,740-779,15128,4579011000.0,31.79
2021,780+,16615,4872478000.0,33.83
2021,Missing,7,1379000.0,0.01
2022,<620,78,15340000.0,0.1
2022,620-659,2714,597660000.0,3.99
2022,660-699,6700,1738278000.0,11.62
2022,700-739,11458,3365425000.0,22.49
2022,740-779,15493,4963197000.0,33.16
2022,780+,13549,4283526000.0,28.62
2022,Missing,8,2152000.0,0.01
