vintage_year,loan_purpose,loans,original_upb,upb_share_pct
2006,P,23157,4187798000.0,46.85
2006,C,18666,3342069000.0,37.39
2006,N,8177,1409472000.0,15.77
2007,P,22561,4182325000.0,45.82
2007,C,17982,3210938000.0,35.17
2007,N,9457,1735252000.0,19.01
2008,P,20805,4261823000.0,41.7
2008,C,15591,3015976000.0,29.51
2008,N,13604,2941206000.0,28.78
2019,P,27770,6998378000.0,54.98
2019,N,11661,3287450000.0,25.83
2019,C,10569,2442911000.0,19.19
2020,N,25237,7506641000.0,52.22
2020,P,15069,4318368000.0,30.04
2020,C,9694,2550204000.0,17.74
2021,P,17138,5380068000.0,37.35
2021,N,19095,5265388000.0,36.56
2021,C,13767,3758315000.0,26.09
2022,P,33324,10776504000.0,72.01
2022,C,12365,3073635000.0,20.54
2022,N,4311,1115439000.0,7.45
