vintage_year,zero_balance_code,credit_event_records,removal_upb,delinquent_accrued_interest,net_sale_proceeds,mi_recoveries,non_mi_recoveries,total_expenses,actual_loss,loss_severity_on_removal_upb
2006,02,547,101889234.59,10842577.23,-61933437.19,-2838507.99,-1123020.32,7483744.27,51031910.5,0.500857
2006,03,1013,213154990.92,14704388.99,-126784065.03,-7634022.98,-1715487.54,7212951.13,87862377.6,0.412199
2006,09,2274,370240638.6,43414060.04,-202243219.65,-22746418.82,-4743495.7,44467759.1,195986094.13,0.529348
2007,02,539,98297930.85,10771317.2,-59626324.78,-3336730.86,-928416.83,7318144.62,49812947.01,0.506755
2007,03,1197,263036928.56,17307678.68,-148907934.44,-17697877.42,-3402501.39,8577942.31,95473519.57,0.362966
2007,09,2525,419808010.29,47632199.65,-214228384.58,-38188170.34,-5359583.41,47609940.42,199734487.13,0.475776
2008,02,293,52159692.49,5734996.13,-35847814.38,-1672657.01,-452328.08,3950056.85,21221608.1,0.406858
2008,03,544,116425250.3,8042718.98,-70478199.52,-8387609.67,-1545611.88,4446572.02,38990569.83,0.334898
2008,09,1175,213057732.21,24225078.69,-118390884.83,-18081157.15,-2561897.14,23585836.29,95943427.77,0.450317
2019,02,18,2728397.6,229927.5,-2809964.2,-90197.99,-68165.44,233378.44,88825.87,0.032556
2019,03,4,786744.3,47572.46,-539181.14,-19501.31,-166320.52,39572.27,148886.1,0.189243
2019,09,14,2808572.0,356178.02,-2971749.84,-65651.85,-66053.03,480973.26,487280.71,0.173498
2020,02,8,1034450.8,36111.97,-1067626.37,-6582.41,-3513.82,33976.15,26816.34,0.025923
2020,09,12,1822190.89,124321.92,-1552949.54,-89449.9,-12143.56,584691.96,407554.04,0.223662
2021,02,11,2184753.4,119204.74,-1862394.05,-316097.56,-24844.26,172868.25,138292.84,0.063299
2021,09,6,1513259.1,88611.55,-1318334.92,-277901.79,-20570.27,190007.12,94110.21,0.06219
2022,02,24,4043761.4,183248.76,-2862872.53,-188555.72,-53226.02,217818.96,315032.75,0.077906
2022,03,6,1818353.97,28466.92,-740609.39,-82213.83,-8434.15,26011.55,48074.01,0.026438
2022,09,20,4186137.75,275965.53,-2467308.56,-788349.37,-33882.04,370864.34,374840.11,0.089543
