vintage_year,ltv_band,loans,original_upb,upb_share_pct
2006,<=60,12427,1955928000.0,21.88
2006,>100,1,162000.0,0.0
2006,60.01-70,7263,1396851000.0,15.63
2006,70.01-80,23630,4529882000.0,50.67
2006,80.01-90,3626,580678000.0,6.5
2006,90.01-95,2000,324707000.0,3.63
2006,95.01-100,1044,150815000.0,1.69
2006,Missing,9,316000.0,0.0
2007,<=60,11687,1884722000.0,20.65
2007,60.01-70,6953,1341481000.0,14.7
2007,70.01-80,21583,4189153000.0,45.89
2007,80.01-90,4889,838361000.0,9.18
2007,90.01-95,3257,595853000.0,6.53
2007,95.01-100,1630,278920000.0,3.06
2007,Missing,1,25000.0,0.0
2008,<=60,13287,2555784000.0,25.01
2008,60.01-70,7583,1640393000.0,16.05
2008,70.01-80,20142,4241437000.0,41.51
2008,80.01-90,5635,1137141000.0,11.13
2008,90.01-95,3077,597178000.0,5.84
2008,95.01-100,275,47027000.0,0.46
2008,Missing,1,45000.0,0.0
2019,<=60,8946,1948858000.0,15.31
2019,>100,1,74000.0,0.0
2019,60.01-70,5592,1430159000.0,11.24
2019,70.01-80,19237,5033674000.0,39.55
2019,80.01-90,6489,1836108000.0,14.42
2019,90.01-95,7529,2051076000.0,16.11
2019,95.01-100,2206,428790000.0,3.37
2020,<=60,13445,3661586000.0,25.47
2020,60.01-70,8288,2418488000.0,16.82
2020,70.01-80,16975,5012999000.0,34.87
2020,80.01-90,5526,1682747000.0,11.71
2020,90.01-95,4767,1383833000.0,9.63
2020,95.01-100,999,215560000.0,1.5
2021,<=60,15019,3793692000.0,26.34
2021,60.01-70,8997,2599577000.0,18.05
2021,70.01-80,15705,4791422000.0,33.27
2021,80.01-90,4585,1474852000.0,10.24
2021,90.01-95,4751,1518882000.0,10.55
2021,95.01-100,943,225346000.0,1.56
2022,<=60,11593,2666216000.0,17.82
2022,60.01-70,6234,1816185000.0,12.14
2022,70.01-80,15941,5019169000.0,33.54
2022,80.01-90,5985,2146686000.0,14.34
2022,90.01-95,8627,2937906000.0,19.63
2022,95.01-100,1620,379416000.0,2.54
