vintage_year,monthly_reporting_period,beginning_active_upb,voluntary_payoff_balance,voluntary_payoff_events,smm,cpr,credit_event_balance,credit_events,mdr,cdr
2006,200601,0.0,0.0,,,,0.0,,,
2006,200602,8462000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,200603,555477000.0,1304000.0,10.0,0.00234753,0.02780949,0.0,0.0,0.0,0.0
2006,200604,1212484227.13,3501227.13,25.0,0.00288765,0.03410669,0.0,0.0,0.0,0.0
2006,200605,1927157000.0,4464000.0,34.0,0.00231637,0.02744498,0.0,0.0,0.0,0.0
2006,200606,2534434000.0,9048000.0,52.0,0.00357003,0.04200909,0.0,0.0,0.0,0.0
2006,200607,3177078000.0,10525000.0,59.0,0.00331279,0.03903713,0.0,0.0,0.0,0.0
2006,200608,3923639000.0,15008000.0,95.0,0.00382502,0.04494682,0.0,0.0,0.0,0.0
2006,200609,4634365055.62,21663948.48,122.0,0.00467463,0.05467557,0.0,0.0,0.0,0.0
2006,200610,5330847726.36,40565960.49,191.0,0.00760966,0.08758941,0.0,0.0,0.0,0.0
2006,200611,5921055545.56,49453527.93,239.0,0.00835215,0.09574752,0.0,0.0,0.0,0.0
2006,200612,6606659874.34,67494667.2,311.0,0.01021616,0.11593473,0.0,0.0,0.0,0.0
2006,200701,7248203386.61,58821200.68,277.0,0.00811528,0.09315221,0.0,0.0,0.0,0.0
2006,200702,8037149427.64,51568759.04,269.0,0.0064163,0.07433573,0.0,0.0,0.0,0.0
2006,200703,8068430533.74,71689955.57,358.0,0.00888524,0.10156365,0.0,0.0,0.0,0.0
2006,200704,8157309179.45,76992950.95,411.0,0.00943852,0.10756373,0.0,0.0,0.0,0.0
2006,200705,8096000049.35,73215920.9,404.0,0.00904347,0.10328331,0.0,0.0,0.0,0.0
2006,200706,8022428357.82,62067808.96,351.0,0.00773679,0.08899094,69576.6,1.0,8.67e-06,0.00010407
2006,200707,7953815293.38,55277026.06,346.0,0.00694975,0.08028197,352833.94,2.0,4.436e-05,0.00053219
2006,200708,7892946053.81,55017725.2,325.0,0.00697049,0.08051248,764341.7,4.0,9.684e-05,0.00116144
2006,200709,7842514000.2,38152240.75,238.0,0.0048648,0.05684065,348286.56,1.0,4.441e-05,0.00053279
2006,200710,7800433107.38,53874899.46,326.0,0.00690665,0.0798029,564090.36,3.0,7.232e-05,0.00086744
2006,200711,7738545633.0,46211306.74,277.0,0.00597158,0.06935159,684674.16,5.0,8.848e-05,0.00106119
2006,200712,7683425165.36,71522268.45,422.0,0.00930864,0.10615856,1198901.73,5.0,0.00015604,0.00187084
2006,200801,7602885285.22,92979533.28,477.0,0.01222951,0.13727459,732766.8,3.0,9.638e-05,0.00115595
2006,200802,7498237743.82,173375662.63,851.0,0.02312219,0.24476354,908247.99,6.0,0.00012113,0.00145257
2006,200803,7355155856.1,158597958.33,844.0,0.02156283,0.23016912,1095089.06,7.0,0.00014889,0.00178518
2006,200804,7188439009.83,120430135.63,650.0,0.01675331,0.18351178,647334.59,4.0,9.005e-05,0.00108009
2006,200805,7055196542.98,84715608.37,485.0,0.01200755,0.13494539,1301560.38,8.0,0.00018448,0.00221155
2006,200806,6988651864.12,69185375.89,425.0,0.00989967,0.11253662,2171848.09,12.0,0.00031077,0.00372285
2006,200807,6925187983.48,53141937.49,341.0,0.00767372,0.08829586,1767048.0,9.0,0.00025516,0.00305766
2006,200808,6857333815.48,39792278.48,265.0,0.00580288,0.06745454,2474782.6,14.0,0.0003609,0.00432216
2006,200809,6800809535.98,31964127.11,217.0,0.00470005,0.0549652,2235537.54,10.0,0.00032872,0.00393747
2006,200810,6755781567.78,49608873.56,323.0,0.00734317,0.0846449,2992762.38,14.0,0.00044299,0.00530298
2006,200811,6691778078.17,28763541.64,187.0,0.00429834,0.05037799,1313615.17,7.0,0.0001963,0.00235309
2006,200812,6649678039.53,55885734.79,331.0,0.00840428,0.09631778,4446737.98,24.0,0.00066871,0.00799513
2006,200901,6579654459.44,128118515.81,695.0,0.01947192,0.21019402,2428583.9,14.0,0.00036911,0.00442028
2006,200902,6437798362.88,196366083.8,1016.0,0.03050206,0.31045485,2901311.0,17.0,0.00045067,0.00539463
2006,200903,6227284209.81,194103602.73,1039.0,0.03116986,0.31613296,3493026.04,20.0,0.00056092,0.00671035
2006,200904,6019316026.47,177055165.24,955.0,0.0294145,0.3011152,2475059.99,13.0,0.00041119,0.00492309
2006,200905,5828958490.18,165179852.08,930.0,0.0283378,0.2917547,4468870.12,24.0,0.00076667,0.00916131
2006,200906,5648042562.78,173402857.47,983.0,0.03070141,0.31215437,4651884.67,24.0,0.00082363,0.00983888
2006,200907,5460220498.96,125978798.86,737.0,0.02307211,0.24429881,6715425.76,37.0,0.00122988,0.01465916
2006,200908,5317393367.86,96935346.99,562.0,0.01822986,0.19810442,5346818.91,31.0,0.00100553,0.0119999
2006,200909,5205617796.73,73981230.53,438.0,0.01421181,0.15782305,6486558.09,35.0,0.00124607,0.01485077
2006,200910,5115818630.39,78987565.32,464.0,0.01543987,0.17032702,9535908.14,47.0,0.001864,0.02214015
2006,200911,5018688133.21,84137891.63,479.0,0.01676492,0.18362745,8353719.19,45.0,0.00166452,0.01979242
2006,200912,4916914209.37,99002963.39,547.0,0.02013518,0.21658123,6000989.31,33.0,0.00122048,0.01454783
2006,201001,4801560076.42,78594099.03,424.0,0.01636845,0.17966848,7527796.73,36.0,0.00156778,0.018652
2006,201002,4706696737.61,66688577.32,372.0,0.01416887,0.15738278,8297969.94,42.0,0.00176301,0.02095222
2006,201003,4622773899.51,80109085.34,481.0,0.01732922,0.18923221,9745167.2,49.0,0.00210808,0.02500568
2006,201004,4524028583.2,71547240.79,447.0,0.01581494,0.17411188,9382032.12,52.0,0.00207382,0.02460397
2006,201005,4435007739.51,60177803.66,390.0,0.01356882,0.15120753,7451269.55,43.0,0.0016801,0.01997597
2006,201006,4359327842.81,66720881.89,402.0,0.01530531,0.16896535,9003147.49,47.0,0.00206526,0.02450354
2006,201007,4280533504.12,73182867.12,426.0,0.01709667,0.18692674,9054947.79,44.0,0.00211538,0.02509127
2006,201008,4190809043.39,82972501.65,518.0,0.01979868,0.21334668,9490062.26,50.0,0.00226449,0.02683803
2006,201009,4091171029.49,93058470.82,545.0,0.02274617,0.2412677,11567591.88,64.0,0.00282745,0.03340674
2006,201010,3978235859.2,90877748.24,556.0,0.02284373,0.24217614,9918157.48,45.0,0.0024931,0.02951042
2006,201011,3868355450.64,99103257.48,585.0,0.02561896,0.26760415,9027406.23,46.0,0.00233365,0.02764721
2006,201012,3753297372.32,100724329.85,581.0,0.02683622,0.2785085,12222710.57,61.0,0.00325653,0.03838593
2006,201101,3632522143.66,67448636.32,416.0,0.01856799,0.20141229,9412075.96,51.0,0.00259106,0.03065341
2006,201102,3547832762.62,59169339.06,363.0,0.0166776,0.18275705,12495865.78,71.0,0.00352211,0.04145614
2006,201103,3469942741.6,56161363.62,358.0,0.0161851,0.17783164,16841452.16,78.0,0.00485352,0.05671243
2006,201104,3390215551.09,48035500.23,304.0,0.01416886,0.1573827,11251198.35,65.0,0.00331873,0.03910578
2006,201105,3324370856.5,36290915.92,247.0,0.01091663,0.12341342,12143046.63,66.0,0.00365274,0.04296285
2006,201106,3270562527.82,44189212.51,284.0,0.0135112,0.15061238,11787710.11,64.0,0.00360418,0.04240308
2006,201107,3207204206.67,38723360.56,251.0,0.01207387,0.13564195,8788811.23,50.0,0.00274033,0.03239289
2006,201108,3153808798.3,48421093.75,305.0,0.01535321,0.1694503,11199067.83,57.0,0.00355097,0.04178915
2006,201109,3088478022.36,38252796.95,259.0,0.01238565,0.13890966,11414553.76,57.0,0.00369585,0.04345971
2006,201110,3033338594.03,43347278.79,283.0,0.01429029,0.15862727,9663874.68,46.0,0.00318589,0.03756782
2006,201111,2974121309.14,43821359.6,303.0,0.01473422,0.16316317,8695291.34,46.0,0.00292365,0.03452512
2006,201112,2914923136.91,45440633.1,306.0,0.01558896,0.17183345,11472289.31,60.0,0.00393571,0.04621948
