vintage_year,property_type,loans,original_upb,upb_share_pct
2006,SF,37754,6627363000.0,74.14
2006,PU,7284,1505117000.0,16.84
2006,CO,4008,690350000.0,7.72
2006,MH,782,86053000.0,0.96
2006,CP,172,30456000.0,0.34
2007,SF,37621,6695645000.0,73.35
2007,PU,7224,1543322000.0,16.91
2007,CO,4409,800980000.0,8.77
2007,MH,572,57927000.0,0.63
2007,CP,174,30641000.0,0.34
2008,SF,36700,7273759000.0,71.18
2008,PU,8747,2027854000.0,19.84
2008,CO,4139,848927000.0,8.31
2008,CP,192,44323000.0,0.43
2008,MH,222,24142000.0,0.24
2019,SF,31405,7767075000.0,61.02
2019,PU,14226,3972791000.0,31.21
2019,CO,4095,946539000.0,7.44
2019,MH,197,23751000.0,0.19
2019,CP,77,18583000.0,0.15
2020,SF,32057,9014839000.0,62.71
2020,PU,14081,4311361000.0,29.99
2020,CO,3642,1009434000.0,7.02
2020,MH,162,24248000.0,0.17
2020,CP,58,15331000.0,0.11
2021,SF,31861,8919395000.0,61.92
2021,PU,13874,4353614000.0,30.23
2021,CO,3915,1059894000.0,7.36
2021,MH,277,49315000.0,0.34
2021,CP,73,21553000.0,0.15
2022,SF,30585,8594968000.0,57.43
2022,PU,14712,5139825000.0,34.34
2022,CO,4103,1109952000.0,7.42
2022,MH,478,87467000.0,0.58
2022,CP,122,33366000.0,0.22
