vintage_year,property_state,loans,original_upb,upb_share_pct
2006,CA,3507,892361000.0,9.98
2006,FL,3482,625987000.0,7.0
2006,TX,3131,485577000.0,5.43
2006,IL,2592,481156000.0,5.38
2006,NY,1792,386311000.0,4.32
2006,PA,1860,311315000.0,3.48
2006,NJ,1307,301781000.0,3.38
2006,WA,1435,295923000.0,3.31
2006,VA,1436,294242000.0,3.29
2006,AZ,1515,286742000.0,3.21
2006,NC,1812,285095000.0,3.19
2006,GA,1689,276647000.0,3.09
2006,MI,1858,272082000.0,3.04
2006,MA,1098,269718000.0,3.02
2006,MD,1193,263534000.0,2.95
2006,OH,1850,245307000.0,2.74
2006,MN,1205,216820000.0,2.43
2006,WI,1383,215896000.0,2.42
2006,CO,1014,204367000.0,2.29
2006,MO,1378,191346000.0,2.14
2006,OR,956,181266000.0,2.03
2006,TN,997,151841000.0,1.7
2006,IN,1192,151407000.0,1.69
2006,SC,825,134585000.0,1.51
2006,UT,700,128202000.0,1.43
2006,CT,529,114168000.0,1.28
2006,NV,484,103002000.0,1.15
2006,AL,694,101410000.0,1.13
2006,KY,755,100685000.0,1.13
2006,LA,564,80644000.0,0.9
2006,OK,560,71459000.0,0.8
2006,NH,345,67641000.0,0.76
2006,NM,391,62944000.0,0.7
2006,KS,450,61363000.0,0.69
2006,IA,482,59470000.0,0.67
2006,ID,389,59152000.0,0.66
2006,AR,459,57247000.0,0.64
2006,HI,171,52175000.0,0.58
2006,ME,260,44916000.0,0.5
2006,RI,183,38351000.0,0.43
2006,DE,189,37287000.0,0.42
2006,AK,180,35827000.0,0.4
2006,MS,258,34729000.0,0.39
2006,NE,259,34316000.0,0.38
2006,WV,229,30412000.0,0.34
2006,MT,195,28165000.0,0.32
2006,VT,150,27080000.0,0.3
2006,DC,83,19365000.0,0.22
2006,SD,138,19143000.0,0.21
2006,PR,181,18406000.0,0.21
2006,WY,114,18057000.0,0.2
2006,ND,89,10103000.0,0.11
2006,GU,8,1227000.0,0.01
2006,VI,4,1087000.0,0.01
