vintage_year,zero_balance_code,events,zero_balance_removal_upb
2006,01,43643,6936969742.05
2006,02,547,101889234.59
2006,03,1013,213154990.92
2006,09,2274,370240638.6
2006,15,235,44201103.72
2006,16,968,172370305.96
2006,96,227,45267630.45
2007,01,42554,7008686516.25
2007,02,539,98297930.85
2007,03,1197,263036928.56
2007,09,2525,419808010.29
2007,15,223,43495008.95
2007,16,1127,214679929.84
2007,96,516,108441481.17
2008,01,45684,8623554117.61
2008,02,293,52159692.49
2008,03,544,116425250.3
2008,09,1175,213057732.21
2008,15,123,26534049.29
2008,16,689,134734187.81
2008,96,380,89433466.74
2019,01,35551,8998974859.78
2019,02,18,2728397.6
2019,03,4,786744.3
2019,09,14,2808572.0
2019,15,13,3743681.1
2019,16,31,7346459.03
2019,96,123,33075233.64
2020,01,19385,5282561103.75
2020,02,8,1034450.8
2020,09,12,1822190.89
2020,15,4,1361785.08
2020,16,21,7206426.38
2020,96,133,38522109.69
2021,01,9583,2346132098.52
2021,02,11,2184753.4
2021,09,6,1513259.1
2021,15,6,1271130.02
2021,16,8,1491396.76
2021,96,116,31221822.13
2022,01,9657,2452376511.46
2022,02,24,4043761.4
2022,03,6,1818353.97
2022,09,20,4186137.75
2022,15,8,1645999.55
2022,16,15,2970027.78
2022,96,250,85400000.8
