loan_sequence_number,vintage_year,snapshot_period,current_actual_upb,credit_score,original_ltv,original_cltv,original_dti_ratio,property_state,current_interest_rate,estimated_ltv,credit_event_12m,pd_12m,rank_score
F22Q10228333,2022,202303,160465.0,813.0,14.0,14.0,13.0,OR,2.395,13.0,0,1.2333027309936356e-06,0.032218228328224595
F22Q40178675,2022,202401,102874.0,815.0,21.0,21.0,16.0,NY,4.875,17.0,0,1.4309481691821983e-06,0.04956226431737487
F22Q10003484,2022,202303,44996.7,812.0,31.0,31.0,11.0,IN,2.375,24.0,0,1.2567084990271194e-06,0.05981652590028007
F22Q20083500,2022,202305,68639.1,823.0,22.0,22.0,16.0,LA,3.875,17.0,0,2.738338713990396e-06,0.06549496107791036
F22Q10319116,2022,202303,145304.0,807.0,17.0,17.0,15.0,GA,2.625,13.0,0,1.3180183549208102e-06,0.07101903102741083
F22Q10193081,2022,202303,78852.9,807.0,26.0,26.0,10.0,VA,3.25,20.0,0,1.5416446564339242e-06,0.07338963988797494
F22Q10421958,2022,202304,85253.5,808.0,24.0,24.0,16.0,CA,2.5,16.0,0,7.05912937565092e-07,0.07349990076521044
F22Q10117341,2022,202302,129854.0,811.0,28.0,28.0,15.0,OH,2.375,23.0,0,1.8741399100712735e-06,0.07533023132732047
F22Q10144235,2022,202302,62538.6,809.0,31.0,31.0,5.0,KY,3.375,27.0,0,1.966740993672603e-06,0.07931064899552338
F22Q10184224,2022,202303,94435.0,809.0,28.0,28.0,6.0,GA,2.5,24.0,0,2.589562466511354e-06,0.08332414492689702
F22Q10007267,2022,202302,176171.0,814.0,27.0,27.0,20.0,MO,2.75,24.0,0,1.0886806408528782e-06,0.08792202350761906
F22Q10084998,2022,202302,93840.9,809.0,28.0,28.0,18.0,PA,2.875,25.0,0,7.708785577244566e-07,0.08932233664851034
F22Q10118466,2022,202302,171763.0,810.0,28.0,28.0,15.0,CA,3.75,28.0,0,2.542619072922647e-06,0.0923655368602112
F22Q10575360,2022,202303,39286.1,802.0,25.0,25.0,11.0,AZ,1.75,16.0,0,3.908438714582398e-07,0.09292786733411254
F22Q10179914,2022,202302,110563.0,804.0,26.0,26.0,14.0,LA,2.25,22.0,0,1.447166682531519e-06,0.09704059805499812
F22Q10540389,2022,202304,51441.1,823.0,27.0,27.0,20.0,AL,4.0,20.0,0,2.353062800151498e-06,0.09717291110768081
F22Q10519376,2022,202304,41918.0,812.0,23.0,23.0,8.0,GA,4.0,17.0,0,4.492323929166253e-06,0.09923478951198536
F22Q20205005,2022,202306,45061.3,801.0,14.0,14.0,13.0,MD,3.99,11.0,0,1.56623541430502e-06,0.10413037246124329
F22Q10013371,2022,202302,69332.0,807.0,31.0,31.0,14.0,NY,2.875,27.0,0,2.3769334267943687e-06,0.1103931902882219
F22Q10573687,2022,202303,146742.0,815.0,5.0,5.0,23.0,CA,3.25,7.0,0,1.6333521440741295e-06,0.11265353827155045
F22Q10170176,2022,202304,85102.6,820.0,40.0,40.0,18.0,NC,3.875,36.0,0,1.6169152106896414e-06,0.11270866871016831
F22Q10318417,2022,202302,109842.0,809.0,29.0,29.0,19.0,GA,2.5,22.0,0,1.7707927340499616e-06,0.1131717643945575
F22Q20197377,2022,202306,432512.0,804.0,27.0,27.0,18.0,CA,3.394,28.0,0,1.1031363153185725e-06,0.11721833858910183
F22Q10425463,2022,202304,86435.9,820.0,46.0,46.0,12.0,IN,2.875,39.0,0,2.0102894319734703e-06,0.12145235627494658
F22Q20028110,2022,202305,119151.0,812.0,42.0,42.0,17.0,IL,3.875,30.0,0,1.483171153974688e-06,0.12860828720753303
F22Q30121327,2022,202309,123227.0,823.0,33.0,33.0,14.0,IN,5.5,25.0,0,5.06623027136578e-06,0.12947934813769382
F22Q20118610,2022,202305,79618.7,809.0,9.0,9.0,23.0,CA,3.375,8.0,0,1.3119197333631925e-06,0.1300196264361479
F22Q20132065,2022,202306,47394.9,798.0,18.0,18.0,13.0,GA,4.375,15.0,0,1.5487185519494409e-06,0.13164046133151033
F22Q30183802,2022,202309,285385.0,822.0,17.0,17.0,23.0,NY,4.25,999.0,0,2.886099629774616e-06,0.13282025271793066
F22Q10088859,2022,202302,148559.0,818.0,16.0,16.0,25.0,CA,2.375,16.0,0,8.730207781796172e-07,0.13287538315654837
F22Q10414490,2022,202303,53222.8,806.0,41.0,41.0,14.0,NJ,2.625,24.0,0,1.08760515618615e-06,0.13293051359516622
F22Q20433409,2022,202305,132104.0,817.0,35.0,35.0,20.0,NC,3.25,31.0,0,2.6317261862882987e-06,0.13297461794606036
F22Q10419346,2022,202304,141559.0,798.0,18.0,18.0,12.0,CA,3.625,16.0,0,1.9811115023438488e-06,0.13623833991223233
F22Q10085091,2022,202302,119053.0,805.0,28.0,28.0,16.0,GA,2.625,25.0,0,3.126869786596422e-06,0.13671246168434517
F22Q10047901,2022,202302,191096.0,808.0,32.0,32.0,19.0,CA,3.25,32.0,0,2.365409857037754e-06,0.1392264096853154
