property_state,current_actual_upb,pool_share
CA,31572967.6,0.12747436189402217
FL,18347575.7,0.07407746824089374
TX,15489528.8,0.06253823919355236
NY,11845155.1,0.04782425291907696
NC,11554988.2,0.04665271779799235
AZ,10161863.0,0.041028040759129455
CO,8492902.9,0.034289693370647564
NJ,8431499.2,0.03404177883899511
PA,8121553.4,0.032790387345573
IL,7561396.3,0.03052877957440783
OH,6645157.5,0.02682950879782918
MN,6217699.2,0.025103666149170346
MA,6183590.0,0.024965951869036742
WA,6177730.9,0.02494229603018005
UT,6002466.3,0.02423467350540949
GA,5946217.2,0.024007570427217594
TN,5350880.0,0.021603924667869527
IN,5344371.7,0.021577647714748564
MI,5328005.6,0.021511570360835407
SC,4915512.6,0.019846149402409224
MO,4652007.4,0.018782259632802754
MD,4266367.0,0.01722525477556673
AL,4175479.9,0.016858302412276743
VA,4144912.8,0.016734889193195913
WI,4038147.7,0.016303830156634162
ID,3752746.6,0.015151536727417453
KY,3226171.7,0.013025515498836186
OR,3033626.2,0.012248122158462776
DE,2775351.0,0.011205348266247115
NV,2223848.4,0.008978682629093192
CT,2159782.8,0.00872002080221577
LA,2133440.6,0.00861366541686122
OK,1973149.0,0.00796649567070876
ME,1764286.9000000001,0.007123224830328668
NE,1587633.1,0.006409993476328412
MT,1434670.4,0.0057924138169464165
KS,1416054.3,0.005717252194557291
AR,1332431.7,0.005379629906086724
IA,1142637.7,0.004613345616696263
RI,997215.0,0.004026208350340414
ND,947632.9,0.0038260229690059836
NM,846781.0,0.003418838197489614
SD,766266.6,0.003093765119364387
MS,650425.2,0.0026260609512610954
HI,576845.0,0.002328984377343016
WV,501789.2,0.0020259501382857616
WY,464431.0,0.0018751181744728555
AK,363893.0,0.0014692007593452004
NH,269771.6,0.0010891900629299536
VT,225481.0,0.000910368862324681
GU,146585.0,0.000591829997577904
