calendar_month,realized_cpr,realized_smm,vintage_year,market_mortgage_rate_30y,rate_regime
2006-02-01,0.0,0.0,2006,6.2525,High Market Rate
2006-03-01,0.02780949,0.00234753,2006,6.324,High Market Rate
2006-04-01,0.03410669,0.00288765,2006,6.5075,High Market Rate
2006-05-01,0.02744498,0.00231637,2006,6.5975,High Market Rate
2006-06-01,0.04200909,0.00357003,2006,6.6819999999999995,High Market Rate
2006-07-01,0.03903713,0.00331279,2006,6.7625,High Market Rate
2006-08-01,0.04494682,0.00382502,2006,6.523999999999999,High Market Rate
2006-09-01,0.05467557,0.00467463,2006,6.4025,High Market Rate
2006-10-01,0.08758941,0.00760966,2006,6.3575,High Market Rate
2006-11-01,0.09574752,0.00835215,2006,6.24,High Market Rate
2006-12-01,0.11593473,0.01021616,2006,6.135,Mid Market Rate
2007-01-01,0.09315221,0.00811528,2006,6.2175,High Market Rate
2007-02-01,0.07433573,0.0064163,2006,6.285,High Market Rate
2007-03-01,0.10156365,0.00888524,2006,6.156000000000001,Mid Market Rate
2007-04-01,0.10756373,0.00943852,2006,6.18,High Market Rate
2007-05-01,0.10328331,0.00904347,2006,6.2620000000000005,High Market Rate
2007-06-01,0.08899094,0.00773679,2006,6.657500000000001,High Market Rate
2007-07-01,0.08028197,0.00694975,2006,6.695,High Market Rate
2007-08-01,0.08051248,0.00697049,2006,6.572,High Market Rate
2007-09-01,0.05684065,0.0048648,2006,6.3825,High Market Rate
2007-10-01,0.0798029,0.00690665,2006,6.375,High Market Rate
2007-11-01,0.06935159,0.00597158,2006,6.208,High Market Rate
2007-12-01,0.10615856,0.00930864,2006,6.095,Mid Market Rate
2008-01-01,0.13727459,0.01222951,2006,5.758,Mid Market Rate
2008-02-01,0.24476354,0.02312219,2006,5.9175,Mid Market Rate
2008-03-01,0.23016912,0.02156283,2006,5.97,Mid Market Rate
2008-04-01,0.18351178,0.01675331,2006,5.9175,Mid Market Rate
2008-05-01,0.13494539,0.01200755,2006,6.036,Mid Market Rate
2008-06-01,0.11253662,0.00989967,2006,6.32,High Market Rate
2008-07-01,0.08829586,0.00767372,2006,6.425999999999999,High Market Rate
2008-08-01,0.06745454,0.00580288,2006,6.4775,High Market Rate
2008-09-01,0.0549652,0.00470005,2006,6.0375,Mid Market Rate
2008-10-01,0.0846449,0.00734317,2006,6.2,High Market Rate
2008-11-01,0.05037799,0.00429834,2006,6.0875,Mid Market Rate
2008-12-01,0.09631778,0.00840428,2006,5.286,Mid Market Rate
2009-01-01,0.21019402,0.01947192,2006,5.047499999999999,Mid Market Rate
2009-02-01,0.31045485,0.03050206,2006,5.13,Mid Market Rate
2009-03-01,0.31613296,0.03116986,2006,5.0025,Mid Market Rate
2009-04-01,0.3011152,0.0294145,2006,4.8100000000000005,Mid Market Rate
2009-05-01,0.2917547,0.0283378,2006,4.8575,Mid Market Rate
2009-06-01,0.31215437,0.03070141,2006,5.42,Mid Market Rate
2009-07-01,0.24429881,0.02307211,2006,5.2219999999999995,Mid Market Rate
2009-08-01,0.19810442,0.01822986,2006,5.1925,Mid Market Rate
2009-09-01,0.15782305,0.01421181,2006,5.0575,Mid Market Rate
2009-10-01,0.17032702,0.01543987,2006,4.952,Mid Market Rate
2009-11-01,0.18362745,0.01676492,2006,4.875,Mid Market Rate
2009-12-01,0.21658123,0.02013518,2006,4.93,Mid Market Rate
2010-01-01,0.17966848,0.01636845,2006,5.03,Mid Market Rate
2010-02-01,0.15738278,0.01416887,2006,4.99,Mid Market Rate
2010-03-01,0.18923221,0.01732922,2006,4.9675,Mid Market Rate
