current_loan_delinquency_status,loan_month_rows
00,16837800
01,307033
02,103570
03,53253
RA,51262
04,39371
05,33405
06,27659
07,23849
08,21035
09,18564
10,16396
11,14622
12,13038
13,11452
14,10260
15,9138
16,8151
17,7340
18,6604
19,5940
20,5402
21,4860
22,4418
23,4058
24,3715
25,3370
26,3118
27,2908
28,2752
29,2532
30,2352
31,2221
32,2042
33,1928
34,1801
35,1674
36,1559
37,1468
38,1376
39,1289
40,1197
41,1145
42,1097
43,1032
44,973
99,951
45,903
46,875
47,824
48,759
49,714
50,675
51,640
52,614
53,578
54,548
55,502
56,469
57,447
58,423
59,399
60,382
61,373
62,345
63,328
64,322
65,284
66,267
67,260
68,243
69,227
70,220
71,213
72,197
73,180
74,170
75,161
76,159
77,147
78,131
79,123
80,114
81,101
82,100
83,100
84,84
85,84
86,81
87,78
88,78
89,65
90,58
91,57
92,53
93,45
94,43
95,43
96,42
97,42
98,37
